PathwayName,Expression,Number of Genes
RUNX2 regulates chondrocyte maturation,0.7198238921005672,5
TGF-beta receptor signaling activates SMADs,0.7192876096673642,47
Signaling by TGFB family members,0.7191621379544597,161
Neurotransmitter release cycle,0.7191022405986399,51
MET receptor recycling,0.7190717776345921,10
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),0.7190699245996406,16
"Cell death signalling via NRAGE, NRIF and NADE",0.7183033771783702,76
Activation of gene expression by SREBF (SREBP),0.7179634510225092,42
Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex,0.7178427434992702,66
Regulation of TP53 Activity through Association with Co-factors,0.7176868739784766,14
"Base-Excision Repair, AP Site Formation",0.7170207562675919,60
Cellular Senescence,0.7168557036840757,191
G0 and Early G1,0.7166530132097022,27
Transport of organic anions,0.7166517241455768,11
Downregulation of ERBB2 signaling,0.7164720242105427,29
Cleavage of the damaged pyrimidine ,0.7158718098526904,58
IRS activation,0.7156688444511614,5
Assembly of the ORC complex at the origin of replication,0.7150323201301128,64
Golgi Associated Vesicle Biogenesis,0.7150132729290581,56
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,0.71471673076671,12
Striated Muscle Contraction,0.7145590194999016,36
RMTs methylate histone arginines,0.7139647802262947,74
Vitamin C (ascorbate) metabolism,0.7137125485432576,8
NADE modulates death signalling,0.7136008614923407,6
ABC transporter disorders,0.7131082204466578,65
p75NTR negatively regulates cell cycle via SC1,0.7130072412847951,6
Tandem pore domain potassium channels,0.712890702525183,12
SIRT1 negatively regulates rRNA expression,0.7127892108428152,63
Mitochondrial Uncoupling,0.712741877221917,7
PI-3K cascade:FGFR2,0.7126915057485137,23
HCMV Late Events,0.7125677534034198,112
Transcriptional regulation of white adipocyte differentiation,0.7125278832432655,84
Regulation of endogenous retroelements by KRAB-ZFP proteins,0.7124010372943447,103
PRC2 methylates histones and DNA,0.7120271960915273,68
Estrogen-dependent gene expression,0.7118726851119634,145
Peptide hormone metabolism,0.7117628212949066,88
Metabolism of steroids,0.7116528560631937,154
FOXO-mediated transcription of cell death genes,0.7112180549944537,16
Gap junction degradation,0.7111897136883766,12
Plasma lipoprotein assembly,0.7109665568881289,19
Mitotic G1 phase and G1/S transition,0.7109085762036809,139
Long-term potentiation,0.7106429353289807,23
Developmental Lineage of Pancreatic Acinar Cells,0.7105726250922493,43
Protein folding,0.7105255630209018,97
RORA activates gene expression,0.7104424296959111,18
RNA Polymerase I Promoter Opening,0.7102965201114624,58
Phase II - Conjugation of compounds,0.710259791603299,107
Death Receptor Signaling,0.7102487817803581,154
Resolution of Sister Chromatid Cohesion,0.7097190607784181,127
Downstream signaling of activated FGFR1,0.7096257936950106,31
Phase 2 - plateau phase,0.7095436877780772,15
Synthesis of PC,0.7095075418032568,28
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,0.7094836605573404,16
trans-Golgi Network Vesicle Budding,0.7090898773393683,72
Nucleotide catabolism,0.7090217282572651,35
VEGFR2 mediated vascular permeability,0.7086037778789557,27
Generic Transcription Pathway,0.7085164103582469,1236
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,0.708318089691186,14
Intracellular signaling by second messengers,0.708094563260882,304
G alpha (s) signalling events,0.707533931835121,157
NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose,0.7073979063003055,5
Cargo recognition for clathrin-mediated endocytosis,0.707142417539678,105
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",0.7071126220014299,14
Ribavirin ADME,0.7068590523892141,11
Hyaluronan uptake and degradation,0.7065594443290609,12
"Plasma lipoprotein assembly, remodeling, and clearance",0.7061333721335308,75
Meiotic recombination,0.7059387705058724,84
Translocation of SLC2A4 (GLUT4) to the plasma membrane,0.7056118342887368,72
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,0.7053238714437511,38
Reproduction,0.7050897425290051,154
Signaling by FGFR3,0.7044863830179895,40
RHOV GTPase cycle,0.7044303973682626,37
Defective C1GALT1C1 causes TNPS,0.7040895377748091,17
Metabolism of steroid hormones,0.703803605086923,36
H139Hfs13* PPM1K causes a mild variant of  MSUD,0.7037539476623033,5
Chylomicron assembly,0.7036212994757656,10
tRNA processing in the mitochondrion,0.7032888108775527,7
Chaperonin-mediated protein folding,0.7031274278590343,92
Activation of caspases through apoptosome-mediated cleavage,0.7028607628353689,6
TCF dependent signaling in response to WNT,0.7026573461345594,216
RHO GTPases activate KTN1,0.7025260507269352,11
Intraflagellar transport,0.702313706615818,54
Signaling by FGFR2,0.7020064818212443,73
FGFR1 ligand binding and activation,0.7016754976714623,18
Metabolism of folate and pterines,0.7012649642450917,17
Oxidative Stress Induced Senescence,0.7012457383158961,119
Carnitine shuttle,0.701225234706207,14
Pre-NOTCH Expression and Processing,0.7011540246020781,118
SHC-mediated cascade:FGFR2,0.700900853954504,23
Constitutive Signaling by Overexpressed ERBB2,0.7006742813033005,11
RAB GEFs exchange GTP for GDP on RABs,0.7002578161712332,90
TNFR2 non-canonical NF-kB pathway,0.7001693982452204,87
NOTCH1 Intracellular Domain Regulates Transcription,0.6999657630102364,48
Chromatin organization,0.6996285547819454,267
Chromatin modifying enzymes,0.6996285547819454,267
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,0.699558975504588,9
Netrin-1 signaling,0.6992350625605283,44
Toll Like Receptor TLR6:TLR2 Cascade,0.698820909159354,112
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0.698820909159354,112
Toll Like Receptor 2 (TLR2) Cascade,0.698818306251461,115
Toll Like Receptor TLR1:TLR2 Cascade,0.698818306251461,115
Trafficking of myristoylated proteins to the cilium,0.6987573266520468,5
Transcriptional regulation by RUNX2,0.6986900611982593,106
MAPK targets/ Nuclear events mediated by MAP kinases,0.6984922168719676,31
Reduction of cytosolic Ca++ levels,0.6983501268510539,12
Metabolism of cofactors,0.6977818848708698,25
LDL clearance,0.6977374883781023,19
TGFBR1 KD Mutants in Cancer,0.6976466897064205,6
TLR3-mediated TICAM1-dependent programmed cell death,0.6975313219021844,6
B-WICH complex positively regulates rRNA expression,0.6974756414845154,86
MAPK family signaling cascades,0.6974170084553507,314
Meiosis,0.6973969178852869,116
G2/M DNA damage checkpoint,0.6972817346415321,94
Phospholipase C-mediated cascade; FGFR2,0.6970871782289414,18
Epigenetic regulation of gene expression,0.6965402294819564,312
Acetylcholine Neurotransmitter Release Cycle,0.6962874309646598,17
Condensation of Prophase Chromosomes,0.6959220952490752,69
Insulin receptor recycling,0.6959095070196797,30
Blood group systems biosynthesis,0.695596907733038,21
Regulation of cholesterol biosynthesis by SREBP (SREBF),0.6953670806515287,55
Signaling by ROBO receptors,0.6946114236925622,205
Downstream signaling of activated FGFR2,0.6943204380272889,30
Cellular responses to stimuli,0.6942922845644562,913
PIP3 activates AKT signaling,0.6942276172785369,264
RNA Polymerase II Transcription,0.693945445034024,1366
Late SARS-CoV-2 Infection Events,0.6939060915328245,70
Mitotic Prometaphase,0.6938235058206265,204
Ligand-receptor interactions,0.6933318176642543,8
Transcriptional activation of mitochondrial biogenesis,0.6932486949900885,54
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),0.6929562479462075,27
Protein repair,0.6928525745787492,6
STAT5 Activation,0.6924295018336184,7
Aryl hydrocarbon receptor signalling,0.6922643981450178,6
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.6922000979496649,62
Signaling by FGFR1,0.6921876235410349,52
PI Metabolism,0.691782146633011,84
Interleukin-23 signaling,0.6917127922932592,9
Inactivation of CDC42 and RAC1,0.6911784269261729,8
Positive epigenetic regulation of rRNA expression,0.6911416675640663,101
NFE2L2 regulating MDR associated enzymes,0.6910047904369429,8
Sealing of the nuclear envelope (NE) by ESCRT-III,0.6908016310207753,32
Signaling by NOTCH1 in Cancer,0.6906362265188358,58
NoRC negatively regulates rRNA expression,0.6903879931723712,101
E2F-enabled inhibition of pre-replication complex formation,0.6903872567855458,9
Sensory processing of sound by inner hair cells of the cochlea,0.6901831068098365,69
Deactivation of the beta-catenin transactivating complex,0.6899801290834355,42
Gene expression (Transcription),0.6895716285996946,1588
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,0.6895342972511775,58
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,0.6895342972511775,58
MAPK1/MAPK3 signaling,0.6894047408644952,271
Constitutive Signaling by NOTCH1 PEST Domain Mutants,0.6890627297562458,58
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.6890627297562457,58
PERK regulates gene expression,0.6890466516323681,32
Signaling by CTNNB1 phospho-site mutants,0.689043779022946,15
Phosphorylation of Emi1,0.6890421772677262,6
FRS-mediated FGFR2 signaling,0.6890197269636467,25
Signaling by FLT3 fusion proteins,0.6888636413743467,19
Voltage gated Potassium channels,0.6887832008982642,43
Caspase-mediated cleavage of cytoskeletal proteins,0.6886238403624327,12
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,0.6885239145573075,57
Synaptic adhesion-like molecules,0.688498918253045,21
Metabolism of nucleotides,0.688491524472103,97
Inhibition of DNA recombination at telomere,0.6884068388042749,65
"SMAC, XIAP-regulated apoptotic response",0.6880423318246237,8
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.6878887891643832,25
PKR-mediated signaling,0.687877137148159,76
Signaling by RAS mutants,0.6878352789223974,45
Uptake and function of anthrax toxins,0.6876611077325521,11
Formation of annular gap junctions,0.6875956301221416,11
Post-translational protein modification,0.6875777167210695,1478
Signaling downstream of RAS mutants,0.6873668251989898,45
Cytochrome P450 - arranged by substrate type,0.6871822847303513,64
Plasma lipoprotein remodeling,0.6870866923077428,34
RAF/MAP kinase cascade,0.6868651732216698,265
Regulation of endogenous retroelements,0.686854779318463,138
Disorders of transmembrane transporters,0.6864744407385569,164
Defective factor VIII causes hemophilia A,0.6861858060985999,7
Sensory processing of sound,0.6854573748385469,77
RIPK1-mediated regulated necrosis,0.6845985586113161,32
Regulation of necroptotic cell death,0.6845985586113161,32
Negative epigenetic regulation of rRNA expression,0.6842437904917407,104
Loss of Function of TGFBR1 in Cancer,0.6837095530891334,7
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,0.6836766268721084,71
Abacavir ADME,0.6835512869839093,9
Negative regulation of FLT3,0.6834252653811409,15
TP53 Regulates Metabolic Genes,0.6833548618437741,84
Attenuation phase,0.6831407033657568,28
Signaling by MAPK mutants,0.6830947176029729,7
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,0.6829451954100068,21
Lewis blood group biosynthesis,0.6826821757122805,18
2-LTR circle formation,0.6821995423247261,7
Signaling by ERBB4,0.6820242964429925,58
Paradoxical activation of RAF signaling by kinase inactive BRAF,0.6816459429717986,45
Activated NTRK3 signals through PI3K,0.6814546109802891,6
Metabolism of proteins,0.6813552867762281,2091
Drug ADME,0.6811573148745568,106
C-type lectin receptors (CLRs),0.6807883323996994,127
Lipophagy,0.6807121745465554,9
RHO GTPases Activate Formins,0.6805113561425226,140
Signaling by BRAF and RAF1 fusions,0.6804586917817635,65
Signaling by NOTCH1,0.6803206529242096,74
HDMs demethylate histones,0.6803076167379776,48
CDC6 association with the ORC:origin complex,0.6797836824016763,8
PIWI-interacting RNA (piRNA) biogenesis,0.6790614113695037,29
Ketone body metabolism,0.6787419868308667,10
TNFR1-induced proapoptotic signaling,0.6784181606836532,25
EML4 and NUDC in mitotic spindle formation,0.6781351246660807,117
RNA Polymerase I Promoter Escape,0.6781341986238575,86
Miscellaneous substrates,0.6780722173131528,12
Estrogen-stimulated signaling through PRKCZ,0.6778110937188051,6
NOTCH2 Activation and Transmission of Signal to the Nucleus,0.6768444902560049,23
Nuclear signaling by ERBB4,0.6768112284714396,32
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,0.6767000536248613,37
Organic cation transport,0.676279296710987,10
Glycine degradation,0.6761328666412538,7
Rab regulation of trafficking,0.6760516471423985,122
SARS-CoV-1-host interactions,0.6757417619861845,98
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",0.67528828488362,79
Sensory processing of sound by outer hair cells of the cochlea,0.675285419448417,55
Nonhomologous End-Joining (NHEJ),0.6751933150682873,68
Base Excision Repair,0.6750570331713577,88
Chromatin modifications during the maternal to zygotic transition (MZT),0.6747878867285027,66
Uptake of dietary cobalamins into enterocytes,0.6741807336834635,10
Toll Like Receptor 7/8 (TLR7/8) Cascade,0.674098119545111,106
Factors involved in megakaryocyte development and platelet production,0.6740705517919457,168
MECP2 regulates transcription factors,0.673997065299128,5
SLC transporter disorders,0.6737628640596907,99
Circadian Clock,0.6734565868059348,70
Nuclear events mediated by NFE2L2,0.6723731359942251,86
Alpha-oxidation of phytanate,0.6723544532327506,6
Cellular response to chemical stress,0.6721625028028088,196
Pre-NOTCH Transcription and Translation,0.6719256292725224,102
Signaling by cytosolic FGFR1 fusion mutants,0.6717166754686263,18
Maturation of spike protein,0.6715501123776346,37
Synthesis of PIPs at the early endosome membrane,0.6714589239175365,16
Cell Cycle,0.671420996667658,677
Transcription of E2F targets under negative control by DREAM complex,0.6713250264302815,19
COPI-independent Golgi-to-ER retrograde traffic,0.6713011763926093,53
RHOBTB3 ATPase cycle,0.6711747508035698,10
Glucose metabolism,0.6708586509369486,84
Signaling by NOTCH1 HD Domain Mutants in Cancer,0.6708445376126131,15
Constitutive Signaling by NOTCH1 HD Domain Mutants,0.670844537612613,15
Interconversion of nucleotide di- and triphosphates,0.670568999054436,29
Signaling by TGF-beta Receptor Complex,0.6703472300597825,94
CD209 (DC-SIGN) signaling,0.6702088954208856,21
PCP/CE pathway,0.6695811776925144,79
G1/S Transition,0.669513033565563,121
Signal attenuation,0.6692235935116252,10
"Cell Cycle, Mitotic",0.6688208906365316,544
Cellular responses to stress,0.6683142723500399,803
Removal of aminoterminal propeptides from gamma-carboxylated proteins,0.6668912588531029,10
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,0.666655152232898,9
Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),0.6665565131779455,93
WNT5A-dependent internalization of FZD4,0.6653775567806058,15
Regulation of pyruvate dehydrogenase (PDH) complex,0.6653197468068199,15
Signalling to ERKs,0.6653089480086157,34
Toll Like Receptor 9 (TLR9) Cascade,0.664657732662399,109
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",0.664636112980114,11
Triglyceride biosynthesis,0.6642829460308375,14
WNT5:FZD7-mediated leishmania damping,0.6641204850100172,12
Killing mechanisms,0.6641204850100172,12
"Synthesis of IP2, IP, and Ins in the cytosol",0.6639645987334402,14
Diseases of programmed cell death,0.6639287510598625,99
Cation-coupled Chloride cotransporters,0.6638322204519682,7
Caspase activation via Dependence Receptors in the absence of ligand,0.6636691584523154,10
SARS-CoV-1 modulates host translation machinery,0.6635556902151027,37
Activated NTRK3 signals through RAS,0.6633502729742559,8
Acyl chain remodeling of CL,0.6632686348730256,6
Ciprofloxacin ADME,0.6630681830665931,5
Lysine catabolism,0.662999331795085,12
Cyclin E associated events during G1/S transition ,0.6629581210769061,73
E2F mediated regulation of DNA replication,0.6629166479105131,22
Branched-chain amino acid catabolism,0.6624192236948624,21
Chromosome Maintenance,0.6624176495631201,137
"Transport of vitamins, nucleosides, and related molecules",0.6614558758383404,43
AURKA Activation by TPX2,0.6612393403773452,72
ABC-family proteins mediated transport,0.6608205203113686,90
Impaired BRCA2 binding to RAD51,0.6605974688447733,35
Amplification of signal from the kinetochores,0.6605769102965717,94
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,0.6605769102965716,94
Peroxisomal lipid metabolism,0.660571573785175,28
Glycolysis,0.6603320455337054,74
MECP2 regulates neuronal receptors and channels,0.6602406032863996,18
Activation of RAC1,0.6597590538453941,13
Loss of proteins required for interphase microtubule organization from the centrosome,0.6595710653901132,69
Loss of Nlp from mitotic centrosomes,0.6595710653901132,69
CREB3 factors activate genes,0.6595534713905962,9
Activated NOTCH1 Transmits Signal to the Nucleus,0.6595260084117464,31
Bicarbonate transporters,0.6594980563327564,10
Activation of ATR in response to replication stress,0.659441384002451,37
Beta-oxidation of very long chain fatty acids,0.6593879642336332,11
DCC mediated attractive signaling,0.6589074686556053,14
PKMTs methylate histone lysines,0.6586940815704235,68
MyD88 dependent cascade initiated on endosome,0.6585769818874001,102
Negative regulation of FGFR3 signaling,0.6580315216866113,29
Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,0.6578881042260499,7
Cilium Assembly,0.6577606466837921,201
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,0.657464746016672,25
ARMS-mediated activation,0.6570474931962319,7
Antiviral mechanism by IFN-stimulated genes,0.6570221363749059,151
TGFBR3 expression,0.656789309539458,28
TRIF (TICAM1)-mediated TLR4 signaling ,0.6566903049593646,109
MyD88-independent TLR4 cascade ,0.6566903049593646,109
Organelle biogenesis and maintenance,0.65654372266602,296
DNA Double Strand Break Response,0.6554345278116552,78
ERK/MAPK targets,0.6551113117973162,22
Noncanonical activation of NOTCH3,0.6551018134306751,8
Unwinding of DNA,0.6549976147554907,12
Intra-Golgi traffic,0.6549604789862118,44
Replacement of protamines by nucleosomes in the male pronucleus,0.6542622816572295,42
Androgen biosynthesis,0.6542507743858558,11
NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ,0.6541290197602947,5
Regulation of expression of SLITs and ROBOs,0.654043875820979,159
Mitochondrial biogenesis,0.6537222617951853,95
Transcriptional regulation by small RNAs,0.6536242682432077,102
Integration of provirus,0.6535164836677609,9
Defective Intrinsic Pathway for Apoptosis,0.6533280360021673,24
Notch-HLH transcription pathway,0.6532886098170562,28
G2/M Transition,0.6530677148647925,185
Mitotic G2-G2/M phases,0.6529505966798885,187
Activation of the pre-replicative complex,0.6527849342169176,33
SUMO E3 ligases SUMOylate target proteins,0.6524939928022709,182
Purine catabolism,0.6522438965573739,17
NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,0.6521385955070972,5
Telomere Maintenance,0.6518848466089898,110
Mitochondrial RNA degradation,0.6515681177285539,12
SARS-CoV-1 Infection,0.6515559111168695,143
RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.6512963120457056,112
Gene Silencing by RNA,0.651152932230396,135
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,0.6505939488854244,77
Biosynthesis of maresins,0.6504462105416552,8
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,0.6501055405723832,5
Regulation of FOXO transcriptional activity by acetylation,0.6496391146332728,10
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,0.6493870020902442,101
Resolution of D-loop Structures through Holliday Junction Intermediates,0.6493479829968626,36
Assembly of active LPL and LIPC lipase complexes,0.6489078402863135,19
Formation of paraxial mesoderm,0.6481516700326555,59
Synthesis of Ketone Bodies,0.648106125494819,8
Presynaptic phase of homologous DNA pairing and strand exchange,0.6479748961333834,40
InlB-mediated entry of Listeria monocytogenes into host cell,0.6478887724784846,15
p38MAPK events,0.6476527435615672,13
FGFRL1 modulation of FGFR1 signaling,0.6475940078552773,13
Homologous DNA Pairing and Strand Exchange,0.6473823546211678,43
Cellular response to heat stress,0.6472456067387468,101
Sodium-coupled phosphate cotransporters,0.6468374011157418,5
Inhibition of replication initiation of damaged DNA by RB1/E2F1,0.6464342825854933,13
NOD1/2 Signaling Pathway,0.6463320915037011,36
PI-3K cascade:FGFR1,0.6461082465642874,21
MAP2K and MAPK activation,0.6459537177966194,40
Phase 0 - rapid depolarisation,0.6457845001129974,32
Recycling of bile acids and salts,0.6455865172777877,18
Transcriptional Regulation by MECP2,0.6455115238357775,62
Intrinsic Pathway of Fibrin Clot Formation,0.6453311782725014,23
Nuclear Envelope Breakdown,0.6451360333164088,53
DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,0.6450138884289128,7
Signaling by high-kinase activity BRAF mutants,0.6447136455628044,36
Gamma-carboxylation of protein precursors,0.6445091140558556,10
SUMOylation,0.6444820192985184,188
Mitotic Prophase,0.6444606877160585,138
TRAF3-dependent IRF activation pathway,0.644411832543316,15
Regulation of PTEN gene transcription,0.6443913945412878,61
PKA-mediated phosphorylation of key metabolic factors,0.644328089549614,5
Cell Cycle Checkpoints,0.6440590802673988,278
Anchoring of the basal body to the plasma membrane,0.6439762583290259,97
Recruitment of NuMA to mitotic centrosomes,0.6439117352543087,95
Resolution of D-Loop Structures,0.6438120315426912,37
M Phase,0.6433506040650311,400
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,0.6432968901258383,7
SMAC (DIABLO) binds to IAPs ,0.6432968901258383,7
"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",0.6430301911968204,61
SHC-mediated cascade:FGFR1,0.6429872995255951,21
RNA Polymerase I Transcription,0.6428589882034186,106
IFNG signaling activates MAPKs,0.6425770579344657,8
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",0.6425596651329352,18
Toll Like Receptor 5 (TLR5) Cascade,0.6419680898882751,96
Toll Like Receptor 10 (TLR10) Cascade,0.6419680898882751,96
MyD88 cascade initiated on plasma membrane,0.6419680898882751,96
Mitotic Spindle Checkpoint,0.6415921346730691,111
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),0.6415827796635979,16
Synthesis of PG,0.6415530116805916,8
Pyruvate metabolism,0.6415000842767938,49
Centrosome maturation,0.6412451656572169,81
RNA Polymerase I Promoter Clearance,0.641067542974638,105
Methionine salvage pathway,0.640842627621011,6
Regulation of HSF1-mediated heat shock response,0.6405951051439397,82
Transcriptional Regulation by TP53,0.640412356468769,360
G2/M Checkpoints,0.6403879127817311,154
Retrograde neurotrophin signalling,0.6399968874377424,14
Mucopolysaccharidoses,0.6399221939982846,11
Synthesis of PIPs at the ER membrane,0.6397800631524871,5
COPI-dependent Golgi-to-ER retrograde traffic,0.6394115742287129,100
Negative regulation of FGFR2 signaling,0.6388006836504163,34
Somitogenesis,0.6387095303162063,45
Glutamate and glutamine metabolism,0.6374066017726778,14
Insulin processing,0.636995004907727,25
Translation of Structural Proteins,0.6369348520116392,57
Metalloprotease DUBs,0.6367835430933394,35
Signaling by moderate kinase activity BRAF mutants,0.6364198192687543,45
HDR through MMEJ (alt-NHEJ),0.6363362365695407,12
Transcriptional Regulation by E2F6,0.6355916806486206,34
Maple Syrup Urine Disease,0.6355026558082414,5
Amyloid fiber formation,0.6350791387670425,106
Recruitment of mitotic centrosome proteins and complexes,0.6350007927674295,81
Nephrin family interactions,0.6348702234524124,23
FRS-mediated FGFR1 signaling,0.634264437485688,23
Oncogenic MAPK signaling,0.6340963823569418,82
Regulation of PLK1 Activity at G2/M Transition,0.6336670412816106,87
Transport of fatty acids,0.633469909655611,8
Golgi-to-ER retrograde transport,0.633172128539442,134
Constitutive Signaling by AKT1 E17K in Cancer,0.6329050395015632,26
DNA Double-Strand Break Repair,0.6326398874287531,170
FGFR2 alternative splicing,0.6322424764583953,27
Myoclonic epilepsy of Lafora,0.6322395988757102,9
Downstream signaling of activated FGFR4,0.6321301078037569,27
Intra-Golgi and retrograde Golgi-to-ER traffic,0.6320216414030184,203
Amine ligand-binding receptors,0.631810890743683,42
Response of EIF2AK4 (GCN2) to amino acid deficiency,0.6314711617281173,102
Toll Like Receptor 3 (TLR3) Cascade,0.6312592208755351,105
Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.6311812862617667,31
Processing of DNA double-strand break ends,0.6302953360710436,97
Defects in cobalamin (B12) metabolism,0.6299366505094411,14
Maturation of nucleoprotein,0.6294154684761568,15
Separation of Sister Chromatids,0.6293698567957049,178
ZBP1(DAI) mediated induction of type I IFNs,0.6292298948451401,21
Downstream signaling events of B Cell Receptor (BCR),0.6281273860557999,68
Synthesis of PIPs at the late endosome membrane,0.6276615070248462,11
SARS-CoV-1 activates/modulates innate immune responses,0.6268954561567606,41
Cytochrome c-mediated apoptotic response,0.6268451425526077,13
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),0.6263548071072776,9
Cyclin A:Cdk2-associated events at S phase entry,0.6263345899717925,75
MAPK6/MAPK4 signaling,0.6262814506639193,80
"Formation of the ternary complex, and subsequently, the 43S complex",0.6261662642551616,52
Negative regulation of FGFR1 signaling,0.6256800025279017,33
Signaling by MRAS-complex mutants,0.6254659055600671,8
Signaling by Hedgehog,0.6248172309287368,137
Thyroxine biosynthesis,0.6246942849828507,10
HDR through Single Strand Annealing (SSA),0.6246105217389275,37
SUMOylation of chromatin organization proteins,0.6244312628790066,71
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,0.6236113764503082,37
Glucagon-type ligand receptors,0.623594456966136,33
SARS-CoV-2-host interactions,0.6235812244058061,204
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",0.6231993614667712,17
Metabolism of porphyrins,0.6229277475345653,27
RHOT1 GTPase cycle,0.6227975279011673,5
Class I peroxisomal membrane protein import,0.622620258274153,20
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.6225455478853016,60
Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy,0.6222150707561123,17
Selenoamino acid metabolism,0.6221681278319174,118
Prolactin receptor signaling,0.6219959700764535,15
Signaling by FGFR4,0.6218160706260116,41
Initiation of Nuclear Envelope (NE) Reformation,0.6217786452859445,19
Host Interactions of HIV factors,0.6209829896903251,118
Gain-of-function MRAS complexes activate RAF signaling,0.6208426982365572,8
Translation initiation complex formation,0.6205082629501326,59
Defects in vitamin and cofactor metabolism,0.6204066008803427,22
Scavenging by Class F Receptors,0.6203142994355163,6
DNA Repair,0.6200028837668189,330
Negative regulation of MAPK pathway,0.619900402563139,43
Ribosomal scanning and start codon recognition,0.6198874426092026,59
CLEC7A (Dectin-1) signaling,0.6198848355463613,87
NOTCH4 Activation and Transmission of Signal to the Nucleus,0.6195473148321057,11
CTNNB1 S33 mutants aren't phosphorylated,0.6195331313107788,15
CTNNB1 S45 mutants aren't phosphorylated,0.6195331313107788,15
RUNX1 regulates estrogen receptor mediated transcription,0.6192654714803374,6
KEAP1-NFE2L2 pathway,0.6190768938760413,112
Cellular response to starvation,0.6189006833448413,157
ISG15 antiviral mechanism,0.6187426958675198,74
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.6182402430298934,36
Regulation of TP53 Activity through Phosphorylation,0.6177425066424131,92
DNA Damage Bypass,0.6176836708218277,48
SARS-CoV-2 modulates host translation machinery,0.6176775687083137,51
Beta-oxidation of pristanoyl-CoA,0.6176189292369759,9
Interleukin-1 signaling,0.6175442306464126,101
HSF1 activation,0.6173691763201121,30
Diseases of Mismatch Repair (MMR),0.6165215532000435,5
Mitotic Metaphase and Anaphase,0.6164195326351695,223
SUMOylation of DNA damage response and repair proteins,0.616163392744297,77
TAK1-dependent IKK and NF-kappa-B activation  ,0.6159682637741403,44
Cobalamin (Cbl) metabolism,0.6158545128158729,7
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),0.6158512884557016,134
Phospholipase C-mediated cascade: FGFR1,0.6156268344559128,16
DNA Damage Reversal,0.6155535143154707,8
"Formation of the active cofactor, UDP-glucuronate",0.6153623786425314,5
Defective RIPK1-mediated regulated necrosis,0.6147599017714975,7
Mitotic Anaphase,0.6147581723937388,222
"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 ",0.6145859766806734,14
Molybdenum cofactor biosynthesis,0.6145312867179068,6
Homology Directed Repair,0.6131271035527629,140
The retinoid cycle in cones (daylight vision),0.6129408200873169,7
